"denominazione
aree",vertici aree gps,,,,,,,,coordinate vertici lato di ingresso,,,,"coordinate vertice
in basso a sinistra",
,x1,y1,x2,y2,x3,y3,x4,y4,x1,y1,x2,y2,x ,y
"area: ""0XB""",245 494,115 531,235 999,108 145,232 084,113 178,241 579,120 564,235 999,108 145,245 494,115 531,235 999,108 145
"area: ""0XU""",227 137,119 564,236 674,126 923,241 916,120 127,232 397,112 782,236 674,126 923,227 137,119 564,236 674,126 923
"area: ""1A""",129 605,115 106,119 625,105 708,89 446,137 755,99 342,147 114,89 446,137 755,119 625,105 708,89 446,137 755
"area: ""1A01""",119 625,105 708,129 602,115 110,133 033,111 469,123 056,102 067,123 056,102 067,133 033,111 469,123 056,102 067
"area: ""1B01""",139 124,105 936,131 261,98 544,128 616,101 360,136 478,108 750,128 616,101 360,131 261,98 544,128 616,101 360
"area: ""1B02""",141 737,103 156,133 872,95 764,131 261,98 544,139 124,105 936,131 261,98 544,133 872,95 764,131 261,98 544
"area: ""1B03""",143 945,100 806,136 079,93 412,133 872,95 764,141 737,103 156,133 872,95 764,136 079,93 412,133 872,95 764
"area: ""1B04""",146 133,98 477,138 266,91 082,136 079,93 412,143 945,100 806,136 079,93 412,138 266,91 082,136 079,93 412
"area: ""1B05""",148 321,96 149,140 452,88 753,138 266,91 082,146 133,98 477,138 266,91 082,140 452,88 753,138 266,91 082
"area: ""1B06""",150 682,93 636,142 818,86 232,140 452,88 753,148 321,96 149,140 452,88 753,142 818,86 232,140 452,88 753
"area: ""1B07""",152 830,91 349,148 522,87 293,146 375,89 582,150 683,93 636,146 375,89 582,148 522,87 293,146 375,89 582
"area: ""1B08""",155 046,88 992,150 735,84 934,148 522,87 293,152 830,91 349,148 522,87 293,150 735,84 934,148 522,87 293
"area: ""1B09""",157 254,86 642,152 942,82 582,150 735,84 934,155 046,88 992,150 735,84 934,152 942,82 582,150 735,84 934
"area: ""1B10""",159 540,84 214,155 227,80 155,152 942,82 582,157 254,86 642,152 942,82 582,155 227,80 156,152 942,82 582
"area: ""1C""",165 078,69 744,170 953,75 270,161 102,85 683,155 227,80 156,155 227,80 156,165 078,69 744,155 227,80 156
"area: ""1D""",129 605,115 106,99 342,147 114,108 167,155 457,138 384,123 373,138 384,123 373,108 167,155 457,138 384,123 373
"area: ""1D01""",129 602,115 110,138 384,123 373,141 813,119 734,133 033,111 469,133 033,111 469,141 813,119 734,133 033,111 469
"area: ""1E01""",147 475,113 718,139 164,105 893,136 478,108 750,144 794,116 566,147 475,113 718,144 794,116 566,147 475,113 718
"area: ""1E02""",150 091,110 940,141 771,103 120,139 164,105 893,147 475,113 718,150 091,110 940,147 475,113 718,150 091,110 940
"area: ""1E03""",152 295,108 599,143 973,100 777,141 771,103 120,150 091,110 940,152 295,108 599,150 091,110 940,152 295,108 599
"area: ""1E04""",154 492,106 266,146 168,98 442,143 973,100 777,152 295,108 599,154 492,106 266,152 295,108 599,154 492,106 266
"area: ""1E05""",156 695,103 925,148 370,96 099,146 168,98 442,154 492,106 266,156 695,103 925,154 492,106 266,156 695,103 925
"area: ""1E06""",158 906,101 577,150 579,93 749,148 370,96 099,156 695,103 925,158 906,101 577,156 695,103 925,158 906,101 577
"area: ""1E07""",161 110,99 236,152 778,91 405,150 579,93 749,158 906,101 577,161 110,99 236,158 906,101 577,161 110,99 236
"area: ""1E08""",163 321,96 888,154 987,89 055,152 778,91 405,161 110,99 236,163 321,96 888,161 110,99 236,163 321,96 888
"area: ""1E09""",165 538,94 533,157 202,86 697,154 987,89 055,163 321,96 888,165 538,94 533,163 321,96 888,165 538,94 533
"area: ""1E10""",167 874,92 052,159 538,84 212,157 202,86 697,165 538,94 533,167 874,92 052,165 538,94 533,167 874,92 052
"area: ""1F""",161 102,85 683,170 953,75 270,177 694,81 610,167 874,92 052,177 695,81 611,167 874,92 052,177 695,81 611
"area: ""1G01""",117 311,159 748,121 654,155 136,115 931,149 747,111 589,154 360,111 589,154 360,115 931,149 747,111 589,154 360
"area: ""1G02""",121 654,155 136,125 996,150 523,120 274,145 135,115 931,149 747,115 931,149 747,120 274,145 135,115 931,149 747
"area: ""1G03""",125 996,150 523,130 339,145 911,124 616,140 523,120 274,145 135,120 274,145 135,124 616,140 523,120 274,145 135
"area: ""1G04""",130 339,145 911,134 681,141 299,128 958,135 911,124 616,140 523,124 616,140 523,128 958,135 911,124 616,140 523
"area: ""1G05""",134 681,141 299,139 023,136 687,133 301,131 299,128 958,135 911,128 958,135 911,133 301,131 299,128 958,135 911
"area: ""1G06""",139 023,136 687,143 366,132 075,137 643,126 687,133 301,131 299,133 301,131 299,137 643,126 687,133 301,131 299
"area: ""1G07""",143 366,132 075,147 708,127 463,141 985,122 075,137 643,126 687,137 643,126 687,141 985,122 075,137 643,126 687
"area: ""1H01""",147 320,118 938,150 880,122 290,155 134,117 772,151 573,114 420,147 320,118 938,151 573,114 420,147 320,118 938
"area: ""1H02""",151 573,114 420,155 134,117 772,159 387,113 255,155 827,109 902,151 573,114 420,155 827,109 902,151 573,114 420
"area: ""1H03""",155 827,109 902,159 387,113 255,163 641,108 737,160 080,105 385,155 827,109 902,160 080,105 385,155 827,109 902
"area: ""1H04""",160 080,105 385,163 641,108 737,167 894,104 219,164 334,100 867,160 080,105 385,164 334,100 867,160 080,105 385
"area: ""1H05""",164 334,100 867,167 894,104 219,172 148,99 701,168 587,96 349,164 334,100 867,168 587,96 349,164 334,100 867
"area: ""1I01""",168 587,96 349,178 138,105 342,184 370,98 724,174 819,89 731,168 587,96 349,174 819,89 731,168 587,96 349
"area: ""1I02""",174 819,89 731,184 370,98 724,190 601,92 105,181 050,83 113,174 819,89 731,181 050,83 113,174 819,89 731
"area: ""1K""",128 353,173 891,83 987,141 948,80 521,146 762,124 882,178 710,83 987,141 948,128 353,173 891,83 987,141 948
"area: ""1L01""",121 578,163 765,125 920,159 153,121 654,155 136,117 311,159 748,125 920,159 153,121 578,163 765,125 920,159 153
"area: ""1L02""",125 920,159 153,130 263,154 540,125 996,150 523,121 654,155 136,130 263,154 540,125 920,159 153,130 263,154 540
"area: ""1L03""",130 263,154 540,134 605,149 928,130 339,145 911,125 996,150 523,134 605,149 928,130 263,154 540,134 605,149 928
"area: ""1L04""",134 605,149 928,138 947,145 316,134 681,141 299,130 339,145 911,138 947,145 316,134 605,149 928,138 947,145 316
"area: ""1L05""",138 947,145 316,143 290,140 704,139 023,136 687,134 681,141 299,143 290,140 704,138 947,145 316,143 290,140 704
"area: ""1L06""",143 290,140 704,147 632,136 092,143 366,132 075,139 023,136 687,147 632,136 092,143 290,140 704,147 632,136 092
"area: ""1L07""",147 632,136 092,151 975,131 480,147 708,127 463,143 366,132 075,151 975,131 480,147 632,136 092,151 975,131 480
"area: ""1M01""",150 880,122 290,154 440,125 642,158 694,121 124,155 134,117 772,158 694,121 124,154 440,125 642,158 694,121 124
"area: ""1M02""",155 134,117 772,158 694,121 124,162 947,116 607,159 387,113 255,162 947,116 607,158 694,121 124,162 947,116 607
"area: ""1M03""",159 387,113 255,162 947,116 607,167 201,112 089,163 641,108 737,167 201,112 089,162 947,116 607,167 201,112 089
"area: ""1M04""",163 641,108 737,167 201,112 089,171 454,107 571,167 894,104 219,171 454,107 571,167 201,112 089,171 454,107 571
"area: ""1M05""",167 894,104 219,171 454,107 571,175 708,103 054,172 148,99 701,175 708,103 054,171 454,107 571,175 708,103 054
"area: ""1N01""",126 090,167 997,130 432,163 385,127 384,160 515,123 042,165 127,123 042,165 127,127 384,160 515,123 042,165 127
"area: ""1N02""",130 432,163 385,134 775,158 773,131 727,155 903,127 384,160 515,127 384,160 515,131 727,155 903,127 384,160 515
"area: ""1N03""",134 775,158 773,139 117,154 160,136 069,151 291,131 727,155 903,131 727,155 903,136 069,151 291,131 727,155 903
"area: ""1N04""",139 117,154 160,143 459,149 548,140 412,146 679,136 069,151 291,136 069,151 291,140 412,146 679,136 069,151 291
"area: ""1N05""",143 459,149 548,147 802,144 936,144 754,142 067,140 412,146 679,140 412,146 679,144 754,142 067,140 412,146 679
"area: ""1N06""",147 802,144 936,152 144,140 324,149 096,137 455,144 754,142 067,144 754,142 067,149 096,137 455,144 754,142 067
"area: ""1N07""",152 144,140 324,156 486,135 712,153 439,132 843,149 096,137 455,149 096,137 455,153 439,132 843,149 096,137 455
"area: ""1O01""",155 897,127 013,160 593,131 435,164 847,126 917,160 150,122 495,155 897,127 013,160 150,122 495,155 897,127 013
"area: ""1O02""",160 150,122 495,164 847,126 917,169 100,122 400,164 404,117 978,160 150,122 495,164 404,117 978,160 150,122 495
"area: ""1O03""",164 404,117 978,169 100,122 400,173 354,117 882,168 657,113 460,164 404,117 978,168 657,113 460,164 404,117 978
"area: ""1O04""",168 657,113 460,173 354,117 882,177 607,113 364,172 911,108 942,168 657,113 460,172 911,108 942,168 657,113 460
"area: ""1O05""",172 911,108 942,177 607,113 364,181 861,108 846,177 164,104 424,172 911,108 942,177 164,104 424,172 911,108 942
"area: ""1P01""",129 137,170 866,133 480,166 254,130 432,163 385,126 090,167 997,133 480,166 254,129 137,170 866,133 480,166 254
"area: ""1P02""",133 480,166 254,137 822,161 642,134 775,158 773,130 432,163 385,137 822,161 642,133 480,166 254,137 822,161 642
"area: ""1P03""",137 822,161 642,142 165,157 030,139 117,154 160,134 775,158 773,142 165,157 030,137 822,161 642,142 165,157 030
"area: ""1P04""",142 165,157 030,146 507,152 418,143 459,149 548,139 117,154 160,146 507,152 418,142 165,157 030,146 507,152 418
"area: ""1P05""",146 507,152 418,150 849,147 806,147 802,144 936,143 459,149 548,150 849,147 806,146 507,152 418,150 849,147 806
"area: ""1P06""",150 849,147 806,155 192,143 194,152 144,140 324,147 802,144 936,155 192,143 194,150 849,147 806,155 192,143 194
"area: ""1P07""",155 192,143 194,159 534,138 582,156 486,135 712,152 144,140 324,159 534,138 582,155 192,143 194,159 534,138 582
"area: ""1Q01""",160 593,131 435,165 173,135 747,169 426,131 229,164 847,126 917,169 426,131 229,165 173,135 747,169 426,131 229
"area: ""1Q02""",164 847,126 917,169 426,131 229,173 680,126 711,169 100,122 400,173 680,126 711,169 426,131 229,173 680,126 711
"area: ""1Q03""",169 100,122 400,173 680,126 711,177 933,122 194,173 354,117 882,177 933,122 194,173 680,126 711,177 933,122 194
"area: ""1Q04""",173 354,117 882,177 933,122 194,182 187,117 676,177 607,113 364,182 187,117 676,177 933,122 194,182 187,117 676
"area: ""1Q05""",177 607,113 364,182 187,117 676,186 440,113 158,181 861,108 846,186 440,113 158,182 187,117 676,186 440,113 158
"area: ""1R01""",186 440,113 158,192 671,106 540,184 370,98 724,178 138,105 342,192 671,106 540,186 440,113 158,192 671,106 540
"area: ""1R02""",192 671,106 540,198 902,99 922,190 601,92 105,184 370,98 724,198 902,99 922,192 671,106 540,198 902,99 922
"area: ""1S01""",135 178,166 765,141 620,173 048,146 116,168 438,139 675,162 155,135 178,166 765,139 675,162 155,135 178,166 765
"area: ""1S02""",139 675,162 155,146 116,168 438,150 613,163 828,144 172,157 545,139 675,162 155,144 172,157 545,139 675,162 155
"area: ""1S03""",144 172,157 545,150 613,163 828,155 110,159 218,148 669,152 935,144 172,157 545,148 669,152 935,144 172,157 545
"area: ""1S04""",148 669,152 935,155 110,159 218,159 607,154 608,153 165,148 325,148 669,152 935,153 165,148 325,148 669,152 935
"area: ""1S05""",153 165,148 325,159 607,154 608,164 103,149 998,157 662,143 715,153 165,148 325,157 662,143 715,153 165,148 325
"area: ""1S06""",157 662,143 715,164 103,149 998,168 600,145 388,162 159,139 105,157 662,143 715,162 159,139 105,157 662,143 715
"area: ""1T01""",166 192,136 701,171 852,142 217,175 263,138 718,169 604,133 201,166 192,136 701,169 604,133 201,166 192,136 701
"area: ""1T02""",169 604,133 201,175 263,138 718,179 742,134 123,174 082,128 607,169 604,133 201,174 082,128 607,169 604,133 201
"area: ""1T03""",174 082,128 607,179 742,134 123,184 220,129 529,178 561,124 013,174 082,128 607,178 561,124 013,174 082,128 607
"area: ""1T04""",178 561,124 013,184 220,129 529,188 699,124 935,183 039,119 418,178 561,124 013,183 039,119 418,178 561,124 013
"area: ""1T05""",183 039,119 418,188 699,124 935,193 177,120 341,187 518,114 824,183 039,119 418,187 518,114 824,183 039,119 418
"area: ""1T06""",187 518,114 824,193 177,120 341,197 656,115 746,191 997,110 230,187 518,114 824,191 997,110 230,187 518,114 824
"area: ""1T07""",191 997,110 230,197 656,115 746,202 134,111 152,196 475,105 635,191 997,110 230,196 475,105 635,191 997,110 230
"area: ""1T08""",202 134,111 152,207 370,105 781,201 710,100 265,196 475,105 635,196 475,105 635,201 710,100 265,196 475,105 635
"area: ""1U""",170 915,147 646,168 600,145 388,146 116,168 438,148 431,170 696,170 915,147 646,148 431,170 696,170 915,147 646
"area: ""1V""",210 166,107 545,207 851,105 288,173 901,140 115,176 217,142 372,210 166,107 545,176 217,142 372,210 166,107 545
"area: ""1WA""",223 717,106 149,221 020,109 522,217 183,106 452,219 718,102 989,221 020,109 522,217 183,106 452,221 020,109 522
"area: ""1X01""",215 724,198 513,217 741,195 844,209 445,189 575,207 428,192 244,207 428,192 244,209 445,189 575,207 428,192 244
"area: ""1X02""",217 741,195 844,219 790,193 134,211 494,186 864,209 445,189 575,209 445,189 575,211 494,186 864,209 445,189 575
"area: ""1X03""",219 789,193 133,222 473,189 581,214 179,183 311,211 494,186 864,211 494,186 864,214 179,183 311,211 494,186 864
"area: ""1X04""",214 875,182 738,227 037,192 064,229 423,188 947,217 297,179 649,214 875,182 738,217 297,179 649,214 875,182 738
"area: ""1X05""",217 297,179 649,229 423,188 947,232 471,184 966,220 391,175 703,217 297,179 649,220 391,175 703,217 297,179 649
"area: ""1X06""",220 912,175 039,232 984,184 296,236 599,179 575,224 581,170 359,220 912,175 039,224 581,170 359,220 912,175 039
"area: ""1X07""",225 118,169 674,237 128,178 884,240 633,174 306,228 676,165 137,225 118,169 674,228 676,165 137,225 118,169 674
"area: ""1X08""",229 224,164 437,241 173,173 600,242 913,171 328,230 990,162 185,229 224,164 437,230 990,162 185,229 224,164 437
"area: ""1X09""",230 990,162 185,242 913,171 328,245 930,167 388,234 052,158 280,230 990,162 185,234 052,158 280,230 990,162 185
"area: ""1X10""",234 052,158 280,245 930,167 388,247 800,164 945,235 951,155 858,234 052,158 280,235 951,155 858,234 052,158 280
"area: ""1X11""",235 951,155 858,247 800,164 945,251 243,160 449,239 445,151 401,235 951,155 858,239 445,151 401,235 951,155 858
"area: ""1X12""",239 445,151 401,251 243,160 449,254 737,155 885,242 992,146 878,239 445,151 401,242 992,146 878,239 445,151 401
"area: ""1Z""",75 939,161 201,82 289,153 007,136 944,195 344,130 585,203 549,82 289,153 007,136 944,195 344,82 289,153 007
"area: ""2A01""",265 445,123 109,275 509,130 448,278 305,126 614,268 240,119 275,275 509,130 448,265 445,123 109,275 509,130 448
"area: ""2A02""",272 410,113 558,268 240,119 275,278 305,126 614,282 474,120 897,272 410,113 558,282 474,120 897,272 410,113 558
"area: ""2A03""",274 275,111 805,284 263,119 625,289 987,112 314,279 999,104 494,284 263,119 625,274 275,111 805,284 263,119 625
"area: ""2A04""",285 295,97 731,295 282,105 550,289 987,112 314,279 999,104 494,285 295,97 731,295 282,105 550,285 295,97 731
"area: ""2A05""",305 053,94 140,294 820,86 127,286 805,96 363,297 039,104 376,297 039,104 376,286 805,96 363,297 039,104 376
"area: ""2A06""",305 053,94 140,310 352,87 373,300 118,79 360,294 820,86 127,300 118,79 360,310 352,87 373,300 118,79 360
"area: ""2A07""",310 547,85 794,314 056,80 804,303 422,73 326,299 913,78 315,310 547,85 794,299 913,78 315,310 547,85 794
"area: ""2A08""",314 056,80 804,317 565,75 814,306 931,68 336,303 422,73 326,306 931,68 336,317 565,75 814,306 931,68 336
"area: ""2A09""",319 104,74 620,323 007,70 063,313 134,61 606,309 231,66 163,319 104,74 620,309 231,66 163,319 104,74 620
"area: ""2A10""",323 007,70 063,328 862,63 228,318 989,54 771,313 134,61 606,318 989,54 771,328 862,63 228,318 989,54 771
"area: ""2A11""",330 535,61 287,334 503,56 654,324 630,48 197,320 662,52 830,330 535,61 287,320 662,52 830,330 535,61 287
"area: ""2A12""",334 503,56 654,338 472,52 021,328 599,43 564,324 630,48 197,328 599,43 564,338 472,52 021,328 599,43 564
"area: ""2A13""",340 145,50 232,344 114,45 599,334 241,37 142,330 272,41 774,340 145,50 232,330 272,41 774,340 145,50 232
"area: ""2A14""",344 114,45 599,347 432,41 726,337 559,33 268,334 241,37 142,337 559,33 268,347 434,41 723,337 559,33 268
"area: ""2B01""",261 451,122 891,265 393,117 787,255 105,109 840,251 163,114 944,261 451,122 891,251 163,114 944,261 451,122 891
"area: ""2B02""",265 393,117 787,267 518,115 036,257 230,107 089,255 105,109 840,257 230,107 089,267 518,115 036,257 230,107 089
"area: ""2B03""",268 435,113 849,271 385,110 031,261 096,102 084,258 147,105 902,268 435,113 849,258 147,105 902,268 435,113 849
"area: ""2B04""",271 385,110 031,274 502,105 995,264 214,98 048,261 096,102 084,264 214,98 048,274 502,105 995,264 214,98 048
"area: ""2B05""",275 502,104 701,278 226,101 158,267 938,93 211,265 213,96 754,275 502,104 701,265 213,96 754,275 502,104 701
"area: ""2B06""",278 226,101 158,281 737,96 629,271 449,88 682,267 938,93 211,271 449,88 682,281 737,96 629,271 449,88 682
"area: ""2B07""",283 441,94 422,286 559,90 386,276 271,82 439,273 153,86 475,283 441,94 422,273 153,86 475,283 441,94 422
"area: ""2B08""",286 559,90 386,289 665,86 365,279 377,78 418,276 271,82 439,279 377,78 418,289 665,86 365,279 377,78 418
"area: ""2B09""",290 937,84 700,294 043,80 679,283 755,72 732,280 648,76 753,290 937,84 700,280 648,76 753,290 937,84 700
"area: ""2B10""",294 043,80 679,297 160,76 643,286 872,68 696,283 755,72 732,286 872,68 696,297 160,76 643,286 872,68 696
"area: ""2B11""",298 267,73 494,301 996,68 667,291 708,60 720,287 979,65 547,298 267,73 494,287 979,65 547,298 267,73 494
"area: ""2B12""",301 996,68 667,305 723,63 842,295 434,55 895,291 708,60 720,295 434,55 895,305 723,63 842,295 434,55 895
"area: ""2B13""",306 647,60 284,310 091,56 527,300 510,47 741,297 065,51 498,306 647,60 284,297 065,51 498,306 647,60 284
"area: ""2B14""",310 091,56 527,314 552,51 663,304 970,42 877,300 510,47 741,304 970,42 877,314 552,51 663,304 970,42 877
"area: ""2B15""",316 944,49 883,320 572,46 298,311 435,37 051,307 807,40 635,316 944,49 883,307 807,40 635,316 944,49 883
"area: ""2B16""",320 572,46 298,323 489,43 416,314 351,34 169,311 435,37 051,314 351,34 169,323 489,43 416,314 351,34 169
"area: ""2C01""",251 163,114 944,255 103,109 855,244 814,101 908,240 875,106 997,251 163,114 944,240 875,106 997,251 163,114 944
"area: ""2C02""",255 103,109 855,257 230,107 089,246 942,99 142,244 814,101 908,246 942,99 142,257 230,107 089,246 942,99 142
"area: ""2C03""",258 147,105 902,261 096,102 084,250 808,94 137,247 859,97 955,258 147,105 902,247 859,97 955,258 147,105 902
"area: ""2C04""",261 096,102 084,264 214,98 048,253 926,90 101,250 808,94 137,253 926,90 101,264 214,98 048,253 926,90 101
"area: ""2C05""",265 213,96 754,267 938,93 211,257 664,85 262,254 925,88 807,265 213,96 754,254 925,88 807,265 213,96 754
"area: ""2C06""",267 938,93 211,271 449,88 682,261 161,80 735,257 664,85 262,261 161,80 735,271 449,88 682,261 161,80 735
"area: ""2C07""",272 425,87 489,275 543,83 453,265 255,75 506,262 137,79 542,272 425,87 489,262 137,79 542,272 425,87 489
"area: ""2C08""",275 543,83 453,278 970,79 016,268 682,71 069,265 255,75 506,268 682,71 069,278 970,79 016,268 682,71 069
"area: ""2C09""",280 431,77 035,283 320,73 295,273 032,65 348,270 143,69 088,280 431,77 035,270 143,69 088,280 431,77 035
"area: ""2C10""",283 320,73 295,286 431,69 267,276 143,61 320,273 032,65 348,276 143,61 320,286 431,69 267,276 143,61 320
"area: ""2C11""",279 688,55 743,289 623,63 418,286 930,66 904,276 994,59 229,286 930,66 904,276 994,59 229,286 930,66 904
"area: ""2C12""",282 206,52 482,292 142,60 157,289 619,63 424,279 683,55 749,282 206,52 482,292 142,60 157,282 206,52 482
"area: ""2C13""",285 897,47 361,295 833,55 036,293 310,58 302,283 374,50 627,293 310,58 302,283 374,50 627,293 310,58 302
"area: ""2C14""",288 065,44 577,298 001,52 252,295 828,55 042,285 892,47 367,288 065,44 577,298 001,52 252,288 065,44 577
"area: ""2D01""",238 230,105 260,241 886,100 526,231 598,92 579,227 942,97 313,238 230,105 260,227 942,97 313,238 230,105 260
"area: ""2D02""",241 886,100 526,244 392,97 282,234 104,89 335,231 598,92 579,234 104,89 335,244 392,97 282,234 104,89 335
"area: ""2D03""",245 410,95 981,248 004,92 806,237 937,84 581,235 343,87 756,245 410,95 981,235 343,87 756,245 410,95 981
"area: ""2D04""",248 004,92 806,251 231,88 857,241 164,80 632,237 937,84 581,241 164,80 632,251 231,88 857,241 164,80 632
"area: ""2D05""",251 358,86 560,255 185,81 964,245 195,73 646,241 368,78 242,251 358,86 560,241 368,78 242,251 358,86 560
"area: ""2D06""",255 185,81 964,258 219,78 320,248 229,70 002,245 195,73 646,248 229,70 002,258 219,78 320,248 229,70 002
